ID Xe,Thời gian vi phạm,Đường dẫn ảnh
1,2025-04-24 21:38:58,vi_pham\car_1_19.jpg
5,2025-04-24 21:38:59,vi_pham\car_5_29.jpg
2,2025-04-24 21:39:02,vi_pham\car_2_64.jpg
25,2025-04-24 21:39:04,vi_pham\car_25_80.jpg
19,2025-04-24 21:39:08,vi_pham\car_19_117.jpg
56,2025-04-24 21:39:18,vi_pham\car_56_218.jpg
22,2025-04-24 21:39:21,vi_pham\car_22_249.jpg
